iter	Passed	Remaining
0	10	10016
1	15	7558
2	24	7991
3	28	7069
4	32	6412
5	39	6494
6	43	6108
7	46	5802
8	53	5921
9	60	5944
10	64	5810
11	71	5860
12	74	5691
13	78	5544
14	83	5456
15	88	5458
16	93	5382
17	100	5480
18	105	5463
19	109	5366
20	113	5277
21	121	5405
22	125	5338
23	131	5356
24	137	5351
25	140	5281
26	145	5255
27	153	5313
28	157	5260
29	160	5200
30	169	5293
31	176	5334
32	187	5492
33	195	5556
34	207	5719
35	219	5876
36	231	6033
37	242	6150
38	254	6265
39	262	6288
40	271	6356
41	285	6500
42	301	6702
43	310	6752
44	321	6822
45	333	6911
46	343	6972
47	354	7032
48	362	7028
49	369	7013
50	376	7014
51	382	6972
52	387	6923
53	391	6855
54	399	6862
55	403	6796
56	407	6741
57	415	6745
58	419	6693
59	423	6637
60	430	6633
61	434	6579
62	438	6523
63	444	6503
64	450	6475
65	453	6424
66	459	6401
67	464	6369
68	468	6321
69	472	6273
70	478	6267
71	483	6233
72	488	6197
73	494	6193
74	499	6163
75	505	6148
76	511	6131
77	516	6100
78	519	6059
79	527	6063
80	532	6038
81	535	5999
82	541	5984
83	546	5961
84	551	5933
85	568	6045
86	585	6144
87	600	6226
88	609	6242
89	617	6238
90	625	6251
91	637	6290
92	647	6319
93	651	6276
94	659	6283
95	663	6247
96	667	6210
97	675	6221
98	682	6215
99	691	6222
100	697	6211
101	703	6194
102	710	6190
103	716	6176
104	727	6199
105	734	6198
106	742	6196
107	746	6163
108	749	6130
109	759	6144
110	763	6111
111	769	6099
112	774	6077
113	778	6046
114	781	6016
115	788	6006
116	792	5983
117	796	5956
118	801	5935
119	805	5910
120	809	5881
121	813	5853
122	818	5834
123	823	5815
124	827	5789
125	831	5765
126	837	5760
127	842	5741
128	846	5716
129	853	5709
130	858	5697
131	862	5673
132	869	5666
133	874	5651
134	878	5627
135	883	5611
136	888	5593
137	891	5569
138	895	5546
139	902	5544
140	909	5542
141	917	5543
142	924	5541
143	932	5540
144	940	5543
145	945	5528
146	954	5539
147	960	5530
148	970	5541
149	977	5536
150	985	5538
151	989	5521
152	994	5506
153	1003	5510
154	1006	5489
155	1010	5469
156	1018	5469
157	1022	5449
158	1026	5428
159	1035	5434
160	1039	5416
161	1043	5397
162	1051	5397
163	1054	5377
164	1058	5357
165	1067	5363
166	1071	5344
